"alpha","omega","k_opt","instability_min","stabk"
0,0,3,NA,"NA;0.1149;0.0464;0.0664;0.0562;0.0579"
0.05,0,3,NA,"NA;0.1124;0.0489;0.0657;0.0588;0.0518"
0.1,0,3,NA,"NA;0.1323;0.0481;0.0626;0.0618;0.0535"
0.15,0,3,NA,"NA;0.1184;0.0522;0.0652;0.0548;0.0552"
0.2,0,6,NA,"NA;0.1093;0.0546;0.0651;0.0597;0.0524"
0.25,0,3,NA,"NA;0.1407;0.0441;0.0607;0.0574;0.0521"
0.3,0,3,NA,"NA;0.1257;0.048;0.0628;0.0571;0.0537"
0.35,0,3,NA,"NA;0.1409;0.0503;0.0619;0.0559;0.0534"
0.4,0,3,NA,"NA;0.1292;0.0502;0.0598;0.0615;0.0545"
0.45,0,3,NA,"NA;0.1337;0.0439;0.0611;0.057;0.0484"
0.5,0,3,NA,"NA;0.1283;0.0521;0.064;0.0524;0.0524"
0.55,0,3,NA,"NA;0.1346;0.0463;0.0679;0.0538;0.0477"
0.6,0,3,NA,"NA;0.1161;0.0504;0.061;0.0547;0.0518"
0.65,0,3,NA,"NA;0.1441;0.0487;0.0662;0.0503;0.0521"
0.7,0,6,NA,"NA;0.1269;0.0534;0.0558;0.0553;0.0519"
0.75,0,6,NA,"NA;0.1253;0.0572;0.0611;0.0582;0.0484"
0.8,0,3,NA,"NA;0.1364;0.0462;0.0616;0.0592;0.0546"
0.85,0,3,NA,"NA;0.1187;0.0486;0.0657;0.0567;0.0547"
0.9,0,3,NA,"NA;0.1139;0.0451;0.0613;0.06;0.052"
0.95,0,3,NA,"NA;0.1131;0.0412;0.0622;0.0556;0.0512"
1,0,3,NA,"NA;0.121;0.0403;0.0587;0.0592;0.053"
0,0.05,3,NA,"NA;0.106;0.0494;0.0654;0.0581;0.0549"
0.05,0.05,3,NA,"NA;0.1185;0.0422;0.0639;0.0575;0.0536"
0.1,0.05,3,NA,"NA;0.1209;0.0406;0.0658;0.0568;0.0527"
0.15,0.05,3,NA,"NA;0.1213;0.0428;0.0674;0.0593;0.0556"
0.2,0.05,3,NA,"NA;0.1369;0.0425;0.0687;0.0576;0.0585"
0.25,0.05,3,NA,"NA;0.1353;0.0489;0.0667;0.0575;0.0549"
0.3,0.05,3,NA,"NA;0.1208;0.047;0.0613;0.057;0.0555"
0.35,0.05,3,NA,"NA;0.1146;0.0473;0.0575;0.0577;0.057"
0.4,0.05,3,NA,"NA;0.143;0.0466;0.0557;0.0547;0.0567"
0.45,0.05,3,NA,"NA;0.1099;0.0465;0.0627;0.0593;0.0538"
0.5,0.05,6,NA,"NA;0.1001;0.0542;0.0599;0.056;0.0516"
0.55,0.05,6,NA,"NA;0.0976;0.0528;0.0568;0.0547;0.0526"
0.6,0.05,6,NA,"NA;0.1134;0.0545;0.0583;0.058;0.0521"
0.65,0.05,3,NA,"NA;0.1428;0.0474;0.0604;0.0578;0.0496"
0.7,0.05,3,NA,"NA;0.1063;0.0492;0.0557;0.0532;0.0564"
0.75,0.05,3,NA,"NA;0.1136;0.042;0.059;0.0533;0.0552"
0.8,0.05,3,NA,"NA;0.1239;0.0462;0.0589;0.0518;0.0534"
0.85,0.05,3,NA,"NA;0.1348;0.0494;0.0555;0.0527;0.0547"
0.9,0.05,3,NA,"NA;0.1133;0.0448;0.0579;0.06;0.0525"
0.95,0.05,3,NA,"NA;0.1077;0.0425;0.0555;0.0589;0.0547"
1,0.05,3,NA,"NA;0.1101;0.0374;0.0627;0.057;0.0537"
0,0.1,3,NA,"NA;0.1352;0.0412;0.0649;0.0636;0.0583"
0.05,0.1,3,NA,"NA;0.1164;0.0383;0.0634;0.0622;0.0523"
0.1,0.1,3,NA,"NA;0.1259;0.0424;0.068;0.0622;0.0583"
0.15,0.1,3,NA,"NA;0.1286;0.0421;0.0642;0.0619;0.057"
0.2,0.1,3,NA,"NA;0.1141;0.0447;0.0698;0.0611;0.0579"
0.25,0.1,3,NA,"NA;0.1379;0.0444;0.0576;0.0577;0.0542"
0.3,0.1,3,NA,"NA;0.1234;0.045;0.0618;0.0633;0.0555"
0.35,0.1,3,NA,"NA;0.1031;0.0493;0.0647;0.0602;0.0561"
0.4,0.1,6,NA,"NA;0.1339;0.055;0.056;0.0559;0.0545"
0.45,0.1,3,NA,"NA;0.1378;0.0426;0.0556;0.0576;0.0545"
0.5,0.1,3,NA,"NA;0.1213;0.044;0.0635;0.0598;0.056"
0.55,0.1,3,NA,"NA;0.1133;0.0504;0.0548;0.0606;0.0547"
0.6,0.1,3,NA,"NA;0.1318;0.0501;0.0616;0.0558;0.055"
0.65,0.1,3,NA,"NA;0.1223;0.0431;0.0576;0.0547;0.0543"
0.7,0.1,3,NA,"NA;0.1264;0.0424;0.0596;0.0538;0.0587"
0.75,0.1,3,NA,"NA;0.1339;0.0428;0.0621;0.0538;0.0558"
0.8,0.1,3,NA,"NA;0.1364;0.0426;0.0626;0.061;0.058"
0.85,0.1,3,NA,"NA;0.1172;0.04;0.0531;0.054;0.0554"
0.9,0.1,3,NA,"NA;0.1025;0.0372;0.0565;0.0546;0.0562"
0.95,0.1,3,NA,"NA;0.1284;0.042;0.0586;0.056;0.0555"
1,0.1,3,NA,"NA;0.1133;0.0441;0.0549;0.0557;0.0583"
0,0.15,3,NA,"NA;0.1454;0.0401;0.0571;0.0693;0.0539"
0.05,0.15,3,NA,"NA;0.1233;0.0433;0.062;0.0637;0.0603"
0.1,0.15,3,NA,"NA;0.1397;0.0377;0.0668;0.0577;0.0558"
0.15,0.15,3,NA,"NA;0.1412;0.0462;0.0601;0.0641;0.0596"
0.2,0.15,6,NA,"NA;0.1078;0.0561;0.0603;0.0581;0.0541"
0.25,0.15,3,NA,"NA;0.1378;0.0499;0.061;0.0561;0.059"
0.3,0.15,3,NA,"NA;0.1387;0.0471;0.0589;0.0584;0.0537"
0.35,0.15,3,NA,"NA;0.1215;0.0437;0.0568;0.0585;0.0602"
0.4,0.15,3,NA,"NA;0.1264;0.0519;0.0622;0.0569;0.0571"
0.45,0.15,3,NA,"NA;0.1192;0.0467;0.0654;0.058;0.0566"
0.5,0.15,3,NA,"NA;0.1386;0.0451;0.0576;0.0613;0.0559"
0.55,0.15,3,NA,"NA;0.119;0.0529;0.0575;0.0581;0.0586"
0.6,0.15,3,NA,"NA;0.1348;0.0492;0.0562;0.0565;0.0571"
0.65,0.15,3,NA,"NA;0.1118;0.0508;0.0573;0.0548;0.058"
0.7,0.15,3,NA,"NA;0.1439;0.0444;0.0607;0.0602;0.0594"
0.75,0.15,3,NA,"NA;0.1566;0.0499;0.0624;0.0598;0.0599"
0.8,0.15,3,NA,"NA;0.1349;0.0437;0.0637;0.0579;0.0585"
0.85,0.15,3,NA,"NA;0.1413;0.0426;0.0623;0.0571;0.0586"
0.9,0.15,3,NA,"NA;0.125;0.0522;0.0566;0.0554;0.0569"
0.95,0.15,3,NA,"NA;0.1466;0.0475;0.0649;0.0627;0.0575"
1,0.15,3,NA,"NA;0.1451;0.0458;0.0582;0.0619;0.0585"
0,0.2,3,NA,"NA;0.1409;0.0359;0.059;0.0646;0.0567"
0.05,0.2,3,NA,"NA;0.1418;0.0378;0.0602;0.066;0.0549"
0.1,0.2,3,NA,"NA;0.1203;0.0484;0.0509;0.0657;0.0595"
0.15,0.2,3,NA,"NA;0.1284;0.0466;0.0617;0.0626;0.0552"
0.2,0.2,3,NA,"NA;0.1217;0.0508;0.0593;0.063;0.0612"
0.25,0.2,3,NA,"NA;0.1301;0.0528;0.06;0.0615;0.0599"
0.3,0.2,3,NA,"NA;0.1261;0.0546;0.0585;0.0637;0.0598"
0.35,0.2,4,NA,"NA;0.1397;0.0575;0.0541;0.061;0.0648"
0.4,0.2,3,NA,"NA;0.1403;0.0549;0.056;0.0642;0.0591"
0.45,0.2,3,NA,"NA;0.1474;0.0472;0.0569;0.06;0.0613"
0.5,0.2,3,NA,"NA;0.1453;0.0448;0.061;0.0622;0.0607"
0.55,0.2,3,NA,"NA;0.1545;0.0508;0.0629;0.0596;0.0645"
0.6,0.2,3,NA,"NA;0.1292;0.0464;0.0616;0.0628;0.0566"
0.65,0.2,3,NA,"NA;0.1484;0.0506;0.0578;0.0578;0.0594"
0.7,0.2,3,NA,"NA;0.1309;0.0515;0.0622;0.0602;0.0615"
0.75,0.2,3,NA,"NA;0.1356;0.0519;0.0617;0.0603;0.0624"
0.8,0.2,3,NA,"NA;0.1303;0.0495;0.0669;0.0615;0.0627"
0.85,0.2,3,NA,"NA;0.1434;0.0518;0.0662;0.0627;0.0591"
