"alpha","omega","k_opt","instability_min","stabk"
0,0,2,NA,"NA;0.0386;0.0699;0.0767;0.0759;0.0705"
0.05,0,2,NA,"NA;0.0461;0.072;0.0736;0.075;0.0765"
0.1,0,2,NA,"NA;0.0483;0.0669;0.0747;0.0799;0.0789"
0.15,0,2,NA,"NA;0.0494;0.0711;0.0706;0.0762;0.074"
0.2,0,2,NA,"NA;0.048;0.0735;0.0768;0.0737;0.0736"
0.25,0,2,NA,"NA;0.0539;0.0709;0.0737;0.0737;0.0765"
0.3,0,2,NA,"NA;0.0444;0.0845;0.0732;0.0749;0.072"
0.35,0,2,NA,"NA;0.0547;0.0754;0.0782;0.0759;0.0695"
0.4,0,2,NA,"NA;0.052;0.0696;0.0697;0.0701;0.0714"
0.45,0,2,NA,"NA;0.0536;0.0744;0.0717;0.0747;0.0753"
0.5,0,2,NA,"NA;0.0546;0.0693;0.0737;0.0769;0.0754"
0.55,0,2,NA,"NA;0.0469;0.0651;0.074;0.0738;0.0743"
0.6,0,2,NA,"NA;0.055;0.0705;0.0681;0.075;0.0774"
0.65,0,2,NA,"NA;0.0538;0.0733;0.0762;0.0731;0.0757"
0.7,0,2,NA,"NA;0.0474;0.0754;0.0754;0.0737;0.0771"
0.75,0,2,NA,"NA;0.0452;0.0715;0.0738;0.069;0.0759"
0.8,0,2,NA,"NA;0.0378;0.0773;0.0742;0.0801;0.0708"
0.85,0,2,NA,"NA;0.0475;0.0725;0.0721;0.0734;0.0767"
0.9,0,2,NA,"NA;0.0568;0.0714;0.0669;0.0687;0.0698"
0.95,0,2,NA,"NA;0.0438;0.072;0.0747;0.0696;0.0724"
1,0,2,NA,"NA;0.0428;0.0675;0.0698;0.0754;0.0739"
0,0.05,2,NA,"NA;0.0519;0.0693;0.0748;0.0764;0.0727"
0.05,0.05,2,NA,"NA;0.0673;0.0693;0.0713;0.0779;0.0748"
0.1,0.05,2,NA,"NA;0.0448;0.0664;0.0711;0.076;0.0719"
0.15,0.05,2,NA,"NA;0.0515;0.0759;0.0792;0.0734;0.0666"
0.2,0.05,2,NA,"NA;0.0595;0.0701;0.0776;0.078;0.0725"
0.25,0.05,2,NA,"NA;0.0481;0.0695;0.0778;0.0775;0.0703"
0.3,0.05,2,NA,"NA;0.0564;0.0729;0.0725;0.0763;0.0746"
0.35,0.05,2,NA,"NA;0.0594;0.0794;0.0723;0.0751;0.0732"
0.4,0.05,2,NA,"NA;0.0573;0.0712;0.0767;0.0733;0.0756"
0.45,0.05,2,NA,"NA;0.0439;0.0676;0.0782;0.077;0.0769"
0.5,0.05,2,NA,"NA;0.0496;0.0771;0.0729;0.0769;0.0729"
0.55,0.05,2,NA,"NA;0.0433;0.0764;0.076;0.0721;0.0734"
0.6,0.05,2,NA,"NA;0.0497;0.064;0.0728;0.0767;0.0696"
0.65,0.05,2,NA,"NA;0.0602;0.0735;0.0752;0.0731;0.0767"
0.7,0.05,2,NA,"NA;0.0585;0.077;0.0732;0.0732;0.0716"
0.75,0.05,2,NA,"NA;0.061;0.0751;0.0786;0.0765;0.0729"
0.8,0.05,2,NA,"NA;0.0543;0.0696;0.0715;0.0776;0.0751"
0.85,0.05,2,NA,"NA;0.0577;0.0852;0.0816;0.0788;0.0708"
0.9,0.05,2,NA,"NA;0.0464;0.0754;0.0734;0.0777;0.0802"
0.95,0.05,2,NA,"NA;0.0465;0.0711;0.0749;0.0759;0.0785"
1,0.05,2,NA,"NA;0.0667;0.0714;0.0766;0.0802;0.0765"
0,0.1,2,NA,"NA;0.0645;0.0785;0.069;0.0777;0.0718"
0.05,0.1,2,NA,"NA;0.063;0.0699;0.0825;0.0722;0.0752"
0.1,0.1,2,NA,"NA;0.0497;0.0691;0.0801;0.0766;0.077"
0.15,0.1,2,NA,"NA;0.0692;0.0787;0.0759;0.0754;0.0726"
0.2,0.1,2,NA,"NA;0.0634;0.0756;0.0739;0.078;0.0721"
0.25,0.1,2,NA,"NA;0.0625;0.0781;0.0798;0.0766;0.0813"
0.3,0.1,2,NA,"NA;0.0573;0.0764;0.0805;0.079;0.0761"
0.35,0.1,2,NA,"NA;0.0607;0.0746;0.0761;0.0765;0.0752"
0.4,0.1,2,NA,"NA;0.0549;0.0757;0.0739;0.0797;0.0711"
0.45,0.1,2,NA,"NA;0.0621;0.0782;0.0763;0.0742;0.0734"
0.5,0.1,2,NA,"NA;0.0541;0.0662;0.0755;0.0665;0.0812"
0.55,0.1,2,NA,"NA;0.0645;0.0702;0.0723;0.0782;0.0786"
0.6,0.1,2,NA,"NA;0.0489;0.0738;0.0847;0.0809;0.0765"
0.65,0.1,2,NA,"NA;0.0536;0.0733;0.0746;0.077;0.0743"
0.7,0.1,2,NA,"NA;0.0634;0.0754;0.0758;0.0739;0.0776"
0.75,0.1,2,NA,"NA;0.0556;0.0757;0.0796;0.081;0.0786"
0.8,0.1,2,NA,"NA;0.052;0.0767;0.0775;0.0763;0.0787"
0.85,0.1,2,NA,"NA;0.0605;0.0679;0.0823;0.0795;0.0748"
0.9,0.1,2,NA,"NA;0.0473;0.0715;0.0828;0.0828;0.078"
0.95,0.1,2,NA,"NA;0.0515;0.0699;0.0756;0.0839;0.0742"
1,0.1,2,NA,"NA;0.0631;0.0707;0.0837;0.079;0.0792"
0,0.15,6,NA,"NA;0.0823;0.0817;0.0761;0.0728;0.071"
0.05,0.15,2,NA,"NA;0.0677;0.0771;0.0743;0.0753;0.0714"
0.1,0.15,2,NA,"NA;0.0704;0.0828;0.0818;0.0747;0.0724"
0.15,0.15,2,NA,"NA;0.0592;0.0829;0.0755;0.0737;0.076"
0.2,0.15,2,NA,"NA;0.0621;0.0832;0.0796;0.077;0.0754"
0.25,0.15,4,NA,"NA;0.078;0.0842;0.0738;0.0773;0.0785"
0.3,0.15,2,NA,"NA;0.0616;0.072;0.0832;0.076;0.0681"
0.35,0.15,2,NA,"NA;0.0603;0.0756;0.0897;0.0743;0.0755"
0.4,0.15,2,NA,"NA;0.0615;0.0738;0.0812;0.0813;0.0823"
0.45,0.15,2,NA,"NA;0.0531;0.0759;0.0751;0.0774;0.0739"
0.5,0.15,2,NA,"NA;0.0668;0.0727;0.0816;0.0811;0.0779"
0.55,0.15,2,NA,"NA;0.0613;0.0714;0.0868;0.0821;0.0749"
0.6,0.15,2,NA,"NA;0.0605;0.0742;0.0852;0.0803;0.0766"
0.65,0.15,2,NA,"NA;0.052;0.0739;0.0813;0.0808;0.0759"
0.7,0.15,2,NA,"NA;0.065;0.0794;0.0772;0.0773;0.0774"
0.75,0.15,2,NA,"NA;0.0464;0.0773;0.0789;0.0794;0.0776"
0.8,0.15,2,NA,"NA;0.0609;0.0746;0.0818;0.0798;0.0774"
0.85,0.15,2,NA,"NA;0.0505;0.0771;0.0818;0.0792;0.0798"
0.9,0.15,2,NA,"NA;0.0643;0.0718;0.0824;0.0877;0.0785"
0.95,0.15,2,NA,"NA;0.0581;0.0821;0.0853;0.0825;0.078"
1,0.15,2,NA,"NA;0.0479;0.0757;0.0803;0.0813;0.079"
0,0.2,2,NA,"NA;0.0654;0.0851;0.0813;0.0775;0.0716"
0.05,0.2,6,NA,"NA;0.081;0.082;0.0782;0.0774;0.0706"
0.1,0.2,6,NA,"NA;0.0774;0.0816;0.078;0.0759;0.0697"
0.15,0.2,6,NA,"NA;0.0781;0.0854;0.0757;0.0793;0.0726"
0.2,0.2,5,NA,"NA;0.0767;0.0757;0.0826;0.073;0.0755"
0.25,0.2,6,NA,"NA;0.0698;0.0829;0.0803;0.0816;0.0687"
0.3,0.2,2,NA,"NA;0.0702;0.0834;0.078;0.0788;0.0819"
0.35,0.2,2,NA,"NA;0.0698;0.0824;0.0853;0.0759;0.0743"
0.4,0.2,2,NA,"NA;0.068;0.0821;0.0846;0.0795;0.071"
0.45,0.2,6,NA,"NA;0.0753;0.0755;0.0869;0.0817;0.0705"
0.5,0.2,2,NA,"NA;0.0717;0.0771;0.0792;0.0815;0.0809"
0.55,0.2,2,NA,"NA;0.0549;0.0834;0.0841;0.0813;0.0769"
0.6,0.2,2,NA,"NA;0.065;0.0788;0.083;0.0774;0.0809"
0.65,0.2,2,NA,"NA;0.0565;0.0796;0.0812;0.0809;0.0763"
0.7,0.2,2,NA,"NA;0.0487;0.0769;0.0799;0.0838;0.0755"
0.75,0.2,2,NA,"NA;0.0577;0.078;0.0808;0.0757;0.0774"
0.8,0.2,2,NA,"NA;0.0622;0.0748;0.0783;0.0841;0.0816"
0.85,0.2,2,NA,"NA;0.0627;0.0763;0.0808;0.0847;0.0746"
0.9,0.2,2,NA,"NA;0.043;0.0762;0.0857;0.0843;0.0745"
0.95,0.2,2,NA,"NA;0.0596;0.0784;0.0854;0.0876;0.0789"
1,0.2,2,NA,"NA;0.0643;0.0784;0.0844;0.0827;0.0811"
0,0.25,6,NA,"NA;0.0806;0.0856;0.0753;0.0764;0.0741"
0.05,0.25,6,NA,"NA;0.0785;0.0824;0.0869;0.0755;0.0743"
0.1,0.25,6,NA,"NA;0.0846;0.0778;0.0823;0.0797;0.077"
0.15,0.25,6,NA,"NA;0.0902;0.0941;0.0798;0.0776;0.0722"
0.2,0.25,2,NA,"NA;0.0698;0.0882;0.0827;0.079;0.0736"
0.25,0.25,6,NA,"NA;0.0841;0.0866;0.0832;0.0839;0.0739"
0.3,0.25,2,NA,"NA;0.0665;0.0891;0.0831;0.0721;0.0725"
0.35,0.25,6,NA,"NA;0.0743;0.0819;0.087;0.0755;0.074"
0.4,0.25,2,NA,"NA;0.069;0.0772;0.086;0.0806;0.0794"
0.45,0.25,6,NA,"NA;0.0751;0.0812;0.0798;0.0802;0.0741"
0.5,0.25,2,NA,"NA;0.0673;0.0787;0.086;0.082;0.0776"
0.55,0.25,2,NA,"NA;0.0538;0.0829;0.0895;0.0794;0.0769"
0.6,0.25,2,NA,"NA;0.0627;0.0794;0.0836;0.0819;0.0782"
0.65,0.25,2,NA,"NA;0.0635;0.0806;0.0817;0.0809;0.0813"
0.7,0.25,2,NA,"NA;0.0556;0.082;0.0867;0.084;0.0801"
0.75,0.25,6,NA,"NA;0.079;0.0826;0.0802;0.0845;0.0787"
0.8,0.25,2,NA,"NA;0.0631;0.0806;0.0812;0.0769;0.0809"
0.85,0.25,2,NA,"NA;0.0636;0.0751;0.0822;0.0884;0.0778"
0.9,0.25,2,NA,"NA;0.0502;0.0711;0.0801;0.0812;0.0795"
