"alpha","omega","k_opt","instability_min","stabk"
0,0,3,NA,"NA;0.0668;0.0461;0.0738;0.0613;0.0502"
0.05,0,3,NA,"NA;0.0656;0.0455;0.0716;0.0647;0.0502"
0.1,0,3,NA,"NA;0.0644;0.0438;0.0797;0.0655;0.0524"
0.15,0,3,NA,"NA;0.068;0.0473;0.0726;0.0639;0.0509"
0.2,0,3,NA,"NA;0.0658;0.0432;0.0734;0.0634;0.049"
0.25,0,3,NA,"NA;0.0613;0.0426;0.0685;0.0661;0.0515"
0.3,0,3,NA,"NA;0.0716;0.0458;0.0675;0.064;0.0495"
0.35,0,3,NA,"NA;0.0604;0.0418;0.0691;0.0677;0.0486"
0.4,0,3,NA,"NA;0.0642;0.0473;0.0729;0.0644;0.0527"
0.45,0,3,NA,"NA;0.0625;0.0439;0.071;0.0666;0.0506"
0.5,0,3,NA,"NA;0.0634;0.0448;0.0723;0.0666;0.0482"
0.55,0,6,NA,"NA;0.0567;0.0501;0.0694;0.0679;0.0482"
0.6,0,3,NA,"NA;0.0562;0.0502;0.0748;0.0666;0.0508"
0.65,0,3,NA,"NA;0.0615;0.0453;0.068;0.0725;0.0505"
0.7,0,3,NA,"NA;0.0661;0.0429;0.0714;0.0658;0.0495"
0.75,0,3,NA,"NA;0.0659;0.038;0.0682;0.0674;0.0509"
0.8,0,3,NA,"NA;0.0644;0.0414;0.0782;0.0662;0.0498"
0.85,0,3,NA,"NA;0.0673;0.0459;0.0728;0.0632;0.0505"
0.9,0,3,NA,"NA;0.0645;0.0433;0.0701;0.0658;0.0474"
0.95,0,3,NA,"NA;0.0676;0.0454;0.0736;0.0673;0.0516"
1,0,3,NA,"NA;0.0655;0.0454;0.0702;0.0649;0.0485"
0,0.05,6,NA,"NA;0.0555;0.0595;0.0768;0.0681;0.0521"
0.05,0.05,6,NA,"NA;0.0641;0.0547;0.0775;0.0665;0.0523"
0.1,0.05,2,NA,"NA;0.0485;0.0582;0.0789;0.0674;0.054"
0.15,0.05,6,NA,"NA;0.0573;0.054;0.0777;0.065;0.0504"
0.2,0.05,3,NA,"NA;0.0586;0.0514;0.0824;0.0676;0.053"
0.25,0.05,6,NA,"NA;0.0646;0.0574;0.0734;0.0654;0.0538"
0.3,0.05,3,NA,"NA;0.0621;0.0541;0.0771;0.0623;0.0547"
0.35,0.05,3,NA,"NA;0.0647;0.0562;0.0809;0.0722;0.0563"
0.4,0.05,3,NA,"NA;0.0642;0.0511;0.0786;0.0698;0.0528"
0.45,0.05,6,NA,"NA;0.0633;0.0575;0.0797;0.0694;0.0564"
0.5,0.05,6,NA,"NA;0.055;0.0584;0.0803;0.0719;0.054"
0.55,0.05,6,NA,"NA;0.0685;0.0599;0.0857;0.0688;0.0547"
0.6,0.05,6,NA,"NA;0.0623;0.0581;0.0835;0.0713;0.0571"
0.65,0.05,6,NA,"NA;0.0644;0.0587;0.0759;0.0696;0.0577"
0.7,0.05,6,NA,"NA;0.0708;0.0626;0.0806;0.0709;0.0581"
0.75,0.05,6,NA,"NA;0.0638;0.0668;0.0766;0.0704;0.0599"
0.8,0.05,6,NA,"NA;0.0696;0.0613;0.081;0.0691;0.0577"
0.85,0.05,6,NA,"NA;0.0687;0.0626;0.0822;0.0752;0.0594"
0.9,0.05,3,NA,"NA;0.065;0.0599;0.0786;0.0683;0.0627"
0.95,0.05,3,NA,"NA;0.0642;0.0619;0.0805;0.073;0.0642"
1,0.05,6,NA,"NA;0.0714;0.0637;0.0769;0.0683;0.0618"
0,0.1,6,NA,"NA;0.0667;0.0586;0.0696;0.0651;0.0547"
0.05,0.1,3,NA,"NA;0.0679;0.053;0.0757;0.0665;0.0539"
0.1,0.1,2,NA,"NA;0.057;0.0682;0.0763;0.068;0.0578"
0.15,0.1,6,NA,"NA;0.0658;0.0587;0.0823;0.075;0.0575"
0.2,0.1,6,NA,"NA;0.0687;0.0632;0.0822;0.0661;0.0588"
0.25,0.1,3,NA,"NA;0.0708;0.0559;0.0761;0.0739;0.0601"
0.3,0.1,2,NA,"NA;0.0559;0.0616;0.0825;0.0713;0.0616"
0.35,0.1,3,NA,"NA;0.0665;0.0573;0.0775;0.0714;0.0625"
0.4,0.1,3,NA,"NA;0.0748;0.0596;0.0864;0.0749;0.0662"
0.45,0.1,6,NA,"NA;0.0724;0.0661;0.0839;0.0706;0.0624"
0.5,0.1,3,NA,"NA;0.0686;0.0637;0.0822;0.0759;0.0658"
0.55,0.1,2,NA,"NA;0.0643;0.0679;0.0861;0.076;0.065"
0.6,0.1,3,NA,"NA;0.0686;0.0615;0.0845;0.0736;0.0685"
0.65,0.1,6,NA,"NA;0.0685;0.0719;0.0839;0.0767;0.066"
0.7,0.1,2,NA,"NA;0.0642;0.0777;0.085;0.0756;0.0696"
0.75,0.1,2,NA,"NA;0.0684;0.0765;0.0842;0.0745;0.0703"
0.8,0.1,6,NA,"NA;0.0743;0.0747;0.0848;0.0788;0.0687"
0.85,0.1,2,NA,"NA;0.066;0.0752;0.0891;0.0814;0.0719"
0.9,0.1,2,NA,"NA;0.0681;0.0727;0.0836;0.0781;0.0723"
0.95,0.1,2,NA,"NA;0.0725;0.082;0.0862;0.0798;0.0726"
1,0.1,2,NA,"NA;0.0678;0.0771;0.0785;0.0811;0.0724"
0,0.15,2,NA,"NA;0.0522;0.0595;0.0783;0.0652;0.0556"
0.05,0.15,2,NA,"NA;0.0575;0.0702;0.08;0.0718;0.0583"
0.1,0.15,6,NA,"NA;0.0668;0.0709;0.0847;0.0723;0.0592"
0.15,0.15,2,NA,"NA;0.0579;0.0628;0.0852;0.0735;0.0632"
0.2,0.15,2,NA,"NA;0.0582;0.0607;0.0813;0.0744;0.0642"
0.25,0.15,6,NA,"NA;0.0715;0.0658;0.0812;0.0773;0.0641"
0.3,0.15,6,NA,"NA;0.0728;0.0735;0.0826;0.0765;0.0626"
0.35,0.15,6,NA,"NA;0.0744;0.0708;0.0848;0.0769;0.0689"
0.4,0.15,6,NA,"NA;0.0718;0.0707;0.0849;0.0756;0.0658"
0.45,0.15,2,NA,"NA;0.0716;0.0778;0.0888;0.0765;0.0718"
0.5,0.15,6,NA,"NA;0.0824;0.0778;0.0883;0.0815;0.0701"
0.55,0.15,2,NA,"NA;0.0697;0.0768;0.0848;0.0796;0.0701"
0.6,0.15,2,NA,"NA;0.0684;0.0775;0.0846;0.0805;0.0731"
0.65,0.15,2,NA,"NA;0.0679;0.0808;0.0812;0.0732;0.0733"
0.7,0.15,2,NA,"NA;0.0694;0.0781;0.0857;0.0822;0.073"
0.75,0.15,6,NA,"NA;0.0697;0.0867;0.0875;0.0839;0.0695"
0.8,0.15,2,NA,"NA;0.0661;0.0973;0.0877;0.0797;0.0758"
0.85,0.15,2,NA,"NA;0.0616;0.0901;0.0881;0.0823;0.0776"
0.9,0.15,2,NA,"NA;0.064;0.0869;0.0893;0.0866;0.0744"
0.95,0.15,2,NA,"NA;0.0689;0.0909;0.0836;0.0834;0.0805"
1,0.15,2,NA,"NA;0.0664;0.0947;0.0907;0.084;0.0769"
0,0.2,2,NA,"NA;0.0575;0.0759;0.0804;0.0722;0.06"
0.05,0.2,2,NA,"NA;0.0585;0.0733;0.0786;0.0729;0.0596"
0.1,0.2,2,NA,"NA;0.0551;0.0727;0.0824;0.0757;0.0646"
0.15,0.2,2,NA,"NA;0.0565;0.0711;0.0824;0.0775;0.0639"
0.2,0.2,2,NA,"NA;0.0649;0.0745;0.0869;0.0775;0.0691"
0.25,0.2,2,NA,"NA;0.0665;0.0786;0.0862;0.0764;0.0697"
0.3,0.2,6,NA,"NA;0.0706;0.0796;0.0873;0.0811;0.0661"
0.35,0.2,2,NA,"NA;0.0678;0.086;0.085;0.0801;0.0745"
0.4,0.2,6,NA,"NA;0.0761;0.078;0.0854;0.0765;0.0703"
0.45,0.2,2,NA,"NA;0.0695;0.0869;0.0843;0.0855;0.0715"
0.5,0.2,2,NA,"NA;0.0691;0.0893;0.0892;0.0834;0.0756"
0.55,0.2,6,NA,"NA;0.0781;0.09;0.0896;0.0843;0.0762"
0.6,0.2,2,NA,"NA;0.0651;0.092;0.0932;0.0853;0.0802"
0.65,0.2,2,NA,"NA;0.0704;0.0903;0.0891;0.081;0.0771"
0.7,0.2,2,NA,"NA;0.0631;0.0977;0.0884;0.0861;0.0788"
0.75,0.2,2,NA,"NA;0.0683;0.0964;0.0886;0.086;0.0779"
0.8,0.2,2,NA,"NA;0.0607;0.0862;0.0845;0.0841;0.0785"
0.85,0.2,2,NA,"NA;0.0591;0.0989;0.0863;0.0829;0.0776"
0.9,0.2,2,NA,"NA;0.061;0.0973;0.0839;0.084;0.0813"
0.95,0.2,2,NA,"NA;0.0642;0.101;0.0913;0.0829;0.0786"
1,0.2,2,NA,"NA;0.0559;0.1019;0.0919;0.0902;0.0833"
0,0.25,2,NA,"NA;0.0578;0.0761;0.0841;0.0731;0.0637"
0.05,0.25,2,NA,"NA;0.0608;0.0782;0.0907;0.0747;0.0656"
0.1,0.25,2,NA,"NA;0.0599;0.073;0.0815;0.0731;0.0607"
0.15,0.25,2,NA,"NA;0.0633;0.0887;0.0888;0.0792;0.067"
