"scenario","seed","k_vrai","alpha","omega","k_opt","instability_min","stabk"
"S1",1,3,0,0,3,NA,"NA;0.1146;0.0814;0.0969;0.0905;0.0852"
"S1",1,3,0.25,0,6,NA,"NA;0.1132;0.0885;0.0947;0.0887;0.0855"
"S1",1,3,0.5,0,3,NA,"NA;0.1107;0.0819;0.0962;0.0896;0.0847"
"S1",1,3,0.75,0,3,NA,"NA;0.1237;0.0815;0.0962;0.0887;0.0837"
"S1",1,3,1,0,6,NA,"NA;0.1242;0.0854;0.094;0.091;0.0847"
"S1",1,3,0,0.25,3,NA,"NA;0.0974;0.0547;0.0725;0.069;0.0665"
"S1",1,3,0.25,0.25,3,NA,"NA;0.0952;0.0526;0.0713;0.0651;0.0652"
"S1",1,3,0.5,0.25,3,NA,"NA;0.0894;0.0487;0.0667;0.0651;0.0636"
"S1",1,3,0.75,0.25,3,NA,"NA;0.088;0.0465;0.0644;0.0613;0.0678"
"S1",1,3,1,0.25,3,NA,"NA;0.0865;0.0404;0.0576;0.0633;0.0682"
"S1",1,3,0,0.5,3,NA,"NA;0.0747;0.0352;0.0564;0.0593;0.0557"
"S1",1,3,0.25,0.5,3,NA,"NA;0.091;0.0249;0.0533;0.0575;0.0541"
"S1",1,3,0.5,0.5,3,NA,"NA;0.0817;0.0214;0.051;0.055;0.0574"
"S1",1,3,0.75,0.5,3,NA,"NA;0.0879;0.0205;0.0462;0.0559;0.0621"
"S1",1,3,1,0.5,3,NA,"NA;0.0797;0.0192;0.0429;0.0535;0.0591"
"S1",1,3,0,0.75,3,NA,"NA;0.0676;0.0249;0.0512;0.0595;0.0553"
"S1",1,3,0.25,0.75,3,NA,"NA;0.0795;0.0214;0.05;0.0592;0.0559"
"S1",1,3,0.5,0.75,3,NA,"NA;0.0685;0.0177;0.0444;0.0594;0.0567"
"S1",1,3,0.75,0.75,3,NA,"NA;0.0758;0.0148;0.0455;0.0574;0.0603"
"S1",1,3,1,0.75,3,NA,"NA;0.0641;0.0133;0.0452;0.057;0.0608"
"S1",1,3,0,1,3,NA,"NA;0.0598;0.0373;0.0683;0.0622;0.0498"
"S1",1,3,0.25,1,3,NA,"NA;0.0448;0.0276;0.0634;0.0578;0.0505"
"S1",1,3,0.5,1,3,NA,"NA;0.0339;0.026;0.0565;0.0594;0.0544"
"S1",1,3,0.75,1,3,NA,"NA;0.0349;0.0236;0.0561;0.0626;0.0577"
"S1",1,3,1,1,3,NA,"NA;0.0408;0.0213;0.0549;0.064;0.0605"
"S2",1,3,0,0,6,NA,"NA;0.1121;0.1197;0.1195;0.1141;0.1061"
"S2",1,3,0.25,0,6,NA,"NA;0.1192;0.116;0.1173;0.1148;0.1058"
"S2",1,3,0.5,0,6,NA,"NA;0.1219;0.112;0.118;0.1162;0.1019"
"S2",1,3,0.75,0,6,NA,"NA;0.1159;0.1151;0.1202;0.1103;0.1015"
"S2",1,3,1,0,6,NA,"NA;0.1105;0.1172;0.1214;0.115;0.1043"
"S2",1,3,0,0.25,5,NA,"NA;0.1007;0.09;0.0966;0.086;0.0872"
"S2",1,3,0.25,0.25,6,NA,"NA;0.0913;0.0896;0.097;0.087;0.0839"
"S2",1,3,0.5,0.25,2,NA,"NA;0.0796;0.0874;0.0951;0.0875;0.0834"
