"scenario","delta1","delta2","seed","method","silhouette","ari","alpha","omega","r"
"S1",1,1,1,"D0",0.288539956692957,0.805254573257637,NA,NA,NA
"S1",1,1,1,"D1",0.338993903795518,0.804142462954291,NA,NA,NA
"S1",1,1,1,"Df_silopt",0.338993903795518,0.804142462954291,1,NA,NA
"S1",1,1,1,"Ds",0.136452241204012,0.588080461899469,NA,NA,NA
"S1",1,1,1,"A",0.158071735369497,0.851808754208754,NA,NA,NA
"S1",1,1,1,"B_silopt",0.338993903795518,0.804142462954291,1,1,NA
"S1",1,1,1,"C_DK_ancien",0.173638366281871,0.970251515925403,1,NA,NA
"S1",1,1,1,"DK_reconstruit",0.162929747040676,0.960234006734007,NA,NA,6.53333114501184
"S1",1,1,2,"D0",0.278028809876938,0.847590837256187,NA,NA,NA
"S1",1,1,2,"D1",0.346072144751269,0.884636129125224,NA,NA,NA
"S1",1,1,2,"Df_silopt",0.346072144751269,0.884636129125224,1,NA,NA
"S1",1,1,2,"Ds",0.169399959426993,0.573460348263619,NA,NA,NA
"S1",1,1,2,"A",0.174646655288962,0.642533066774583,NA,NA,NA
"S1",1,1,2,"B_silopt",0.346072144751269,0.884636129125224,1,1,NA
"S1",1,1,2,"C_DK_ancien",0.175399831708991,0.912776879923551,1,NA,NA
"S1",1,1,2,"DK_reconstruit",0.158227758036678,0.684069749489879,NA,NA,7.05271358965604
"S1",1,1,3,"D0",0.285614700843495,0.716891422716131,NA,NA,NA
"S1",1,1,3,"D1",0.348411740553759,0.902252776073816,NA,NA,NA
"S1",1,1,3,"Df_silopt",0.348411740553759,0.902252776073816,1,NA,NA
"S1",1,1,3,"Ds",0.137544830797544,0.604384100710789,NA,NA,NA
"S1",1,1,3,"A",0.163877228464177,0.702892950335397,NA,NA,NA
"S1",1,1,3,"B_silopt",0.348411740553759,0.902252776073816,1,1,NA
"S1",1,1,3,"C_DK_ancien",0.17538517680995,0.921522785042691,1,NA,NA
"S1",1,1,3,"DK_reconstruit",0.159287040130687,0.912495723328421,NA,NA,6.77491793492772
"S1",1,1,4,"D0",0.289023726164154,0.804892077863667,NA,NA,NA
"S1",1,1,4,"D1",0.345967812504993,0.839332285559315,NA,NA,NA
"S1",1,1,4,"Df_silopt",0.345967812504993,0.839332285559315,1,NA,NA
"S1",1,1,4,"Ds",0.136689937661269,0.591163644327182,NA,NA,NA
"S1",1,1,4,"A",0.159343909930047,0.87525562028025,NA,NA,NA
"S1",1,1,4,"B_silopt",0.345967812504992,0.839332285559315,1,1,NA
"S1",1,1,4,"C_DK_ancien",0.17910977516084,0.960389731390557,1,NA,NA
"S1",1,1,4,"DK_reconstruit",0.16371855163228,0.950627252496209,NA,NA,6.86895676093048
"S1",1,1,5,"D0",0.279669527508456,0.838589413684264,NA,NA,NA
"S1",1,1,5,"D1",0.339833558326836,0.847680017179635,NA,NA,NA
"S1",1,1,5,"Df_silopt",0.339833558326836,0.847680017179635,1,NA,NA
"S1",1,1,5,"Ds",0.141103227841875,0.654135019860786,NA,NA,NA
"S1",1,1,5,"A",0.150783360271276,0.831045552120054,NA,NA,NA
"S1",1,1,5,"B_silopt",0.339833558326836,0.847680017179635,1,1,NA
"S1",1,1,5,"C_DK_ancien",0.171713631265936,0.940660093150529,1,NA,NA
"S1",1,1,5,"DK_reconstruit",0.153226540497779,0.931099601087982,NA,NA,6.86285846374363
"S1",1,1,6,"D0",0.314259905926277,0.892856848309456,NA,NA,NA
"S1",1,1,6,"D1",0.370288494997476,0.94036419222485,NA,NA,NA
"S1",1,1,6,"Df_silopt",0.370288494997476,0.94036419222485,1,NA,NA
"S1",1,1,6,"Ds",0.154564060927752,0.59367425744107,NA,NA,NA
"S1",1,1,6,"A",0.166399718415469,0.686950154022437,NA,NA,NA
"S1",1,1,6,"B_silopt",0.370288494997476,0.94036419222485,1,1,NA
"S1",1,1,6,"C_DK_ancien",0.179820821060592,0.92103917097113,1,NA,NA
"S1",1,1,6,"DK_reconstruit",0.168371138050342,0.90295744195176,NA,NA,7.19933659530187
"S1",1,1,7,"D0",0.298079329006558,0.892972054927862,NA,NA,NA
"S1",1,1,7,"D1",0.3642067003831,0.866421191339437,NA,NA,NA
"S1",1,1,7,"Df_silopt",0.3642067003831,0.866421191339437,1,NA,NA
"S1",1,1,7,"Ds",0.136493876970345,0.663504879799182,NA,NA,NA
"S1",1,1,7,"A",0.155083448400174,0.815978265027863,NA,NA,NA
"S1",1,1,7,"B_silopt",0.3642067003831,0.866421191339437,1,1,NA
"S1",1,1,7,"C_DK_ancien",0.180207474486207,0.970050172547571,1,NA,NA
"S1",1,1,7,"DK_reconstruit",0.162618055458975,0.989983166952885,NA,NA,7.10730919363196
"S1",1,1,8,"D0",0.279112125588472,0.884751125428329,NA,NA,NA
"S1",1,1,8,"D1",0.346758727903027,0.840131757979343,NA,NA,NA
"S1",1,1,8,"Df_silopt",0.346758727903027,0.840131757979343,1,NA,NA
"S1",1,1,8,"Ds",0.137591825756467,0.496801883171437,NA,NA,NA
"S1",1,1,8,"A",0.169867393765037,0.800733005363949,NA,NA,NA
"S1",1,1,8,"B_silopt",0.346758727903027,0.840131757979343,1,1,NA
"S1",1,1,8,"C_DK_ancien",0.170921087547526,0.894244416648713,1,NA,NA
"S1",1,1,8,"DK_reconstruit",0.159934297230859,0.931097258289291,NA,NA,7.12337065772708
"S1",1,1,9,"D0",0.298086240161026,0.875523689616506,NA,NA,NA
"S1",1,1,9,"D1",0.365255277998052,0.884180057036818,NA,NA,NA
"S1",1,1,9,"Df_silopt",0.365255277998052,0.884180057036818,1,NA,NA
"S1",1,1,9,"Ds",0.135137024621782,0.571643765603817,NA,NA,NA
"S1",1,1,9,"A",0.162295602014484,0.755476500388743,NA,NA,NA
"S1",1,1,9,"B_silopt",0.365255277998052,0.884180057036818,1,1,NA
"S1",1,1,9,"C_DK_ancien",0.179939666480545,0.950635644814411,1,NA,NA
"S1",1,1,9,"DK_reconstruit",0.168389151332603,0.970251515925403,NA,NA,6.88207141188308
